group_key,guard,detail
CORTISONE | TABLET CONTAINING CORTISONE ACETATE 25 MG,low_uptake,60-day share 2.4% of group volume
CYPROTERONE | TABLET CONTAINING CYPROTERONE ACETATE 50 MG,low_uptake,60-day share 4.0% of group volume
DABIGATRAN | CAPSULE 110 MG (AS MESILATE),low_uptake,60-day share 2.8% of group volume
DABIGATRAN | CAPSULE 150 MG (AS MESILATE),low_uptake,60-day share 3.8% of group volume
DAPAGLIFLOZIN + METFORMIN | TABLET (MODIFIED RELEASE) CONTAINING 10 MG DAPAGLIFLOZIN (AS PROPANEDIOL MONOHYDRATE) WITH 500 MG METFORMIN HYDROCHLORIDE,no_substitution,"30-day mean 3851 -> 3864, did not fall"
DAPAGLIFLOZIN + METFORMIN | TABLET (MODIFIED RELEASE) CONTAINING 5 MG DAPAGLIFLOZIN (AS PROPANEDIOL MONOHYDRATE) WITH 1000 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.6% of group volume
DAPAGLIFLOZIN | TABLET 10 MG (AS PROPANEDIOL MONOHYDRATE),no_substitution,"30-day mean 126369 -> 131311, did not fall"
DESMOPRESSIN | WAFER 120 MICROGRAMS (AS ACETATE),no_substitution,"30-day mean 1456 -> 1457, did not fall"
DESVENLAFAXINE | TABLET (EXTENDED RELEASE) 100 MG (AS SUCCINATE),low_uptake,60-day share 3.6% of group volume
DESVENLAFAXINE | TABLET (EXTENDED RELEASE) 50 MG (AS SUCCINATE),low_uptake,60-day share 2.7% of group volume
DESVENLAFAXINE | TABLET (MODIFIED RELEASE) 100 MG,low_uptake,60-day share 4.7% of group volume
DESVENLAFAXINE | TABLET (MODIFIED RELEASE) 100 MG (AS BENZOATE),no_substitution,"30-day mean 23789 -> 25130, did not fall"
DESVENLAFAXINE | TABLET (MODIFIED RELEASE) 100 MG (AS BENZOATE),low_uptake,60-day share 4.9% of group volume
DESVENLAFAXINE | TABLET (MODIFIED RELEASE) 50 MG,low_uptake,60-day share 2.7% of group volume
